Timestamp,Transfer Type,Dealer,STEEM,SBD,TX ID
2018-08-01T06:33:48,transfer from,big-whale,0,0.001,066caa0b0b55dd9e87f25adb1668373d8e69b316
2018-08-01T18:51:18,transfer from,hottopic,0,0.001,e8f5a46538f79b34c90f7bac097e6c88137d9773
2018-08-01T18:52:54,transfer from,okankarol,0,0.001,7825d3d9b1b800614ca9d141da2bee3f71635175
2018-08-03T05:41:57,transfer from,big-whale,0,0.001,b1462a8c0271c3cb0692ab05a44ebe273c934ecb
2018-08-03T19:14:54,transfer from,hottopic,0,0.001,3ea22a34d4c7a20710bc408f5fbae5b3658f0259
2018-08-03T19:15:48,transfer from,okankarol,0,0.001,d205e04b36d48f5dce80cbfc7ae72498194219e2
2018-08-06T01:01:12,transfer from,hottopic,0,0.001,c808d4775bcae6bdc8840d0abbcc473c321a68d4
2018-08-06T01:02:24,transfer from,okankarol,0,0.001,75ccb48f57880a5e0f819ed1b72e57b81152fe1a
2018-08-06T04:42:00,transfer from,huge-whale,0,0.001,e758fadfac365a41d68f4bffdecc259d594cbae7
2018-08-07T13:59:24,transfer from,steem-top-newbie,0.005,0,7c48da09f5a00766c19a28160e63be3339822717
2018-08-07T15:30:39,transfer from,huge-whale,0,0.001,636f8651de8ecbba3e1d89c081b01d5165947e24
2018-08-08T03:19:33,transfer from,travelgirl,0,5.0,df0c381b0cb54326c7479cf4a6b087737b887d4b
2018-08-08T04:43:42,transfer from,byresteem,0,0.001,6c8d9e321a659f406a3aae037d653f419f522eb9
2018-08-08T05:03:36,transfer to,catwomanteresa,0,-0.5,04225370be6d8aa2b242b3df4cb70fe2c2ba9189
2018-08-08T05:05:18,transfer to,sirbruce92,0,-0.5,3fd47a44c88797d15c569da3f1a11ad5e1ef6a2d
2018-08-08T05:05:33,transfer to,carolkean,0,-0.5,6e1865baa33d899cc7d71135132b7358246e3f72
2018-08-08T05:05:54,transfer to,florindachan,0,-0.5,f90c3af02638d191b7be31ab5717ab20b9cc32cb
2018-08-08T05:06:09,transfer to,perlia,0,-0.5,9300dbebb6938e36d5bb1db805e3bc0cc697c54c
2018-08-08T05:06:45,transfer to,somtamanytime,0,-1.0,1bcb3debe8e2563ede444e312e4f998e9b562cc1
2018-08-08T05:07:12,transfer to,shepherd-stories,0,-1.0,e7fd312baff1076188582f96856bb953283424a6
2018-08-08T05:07:54,transfer to,bkkshadow,0,-0.5,41fb390ff091e258ce65a2f25ad9ca3050d67db7
2018-08-08T05:08:21,transfer to,deerjay,0,-0.5,84a180e89dbc5931cecff1d617ede86b2593d26e
2018-08-08T05:08:36,transfer to,perlia,0,-0.5,73f843e15a47feb0ac8a84d43ef3a40d87ab45b5
2018-08-08T05:09:12,transfer to,momina,0,-0.5,7ee3dadb78ae115e683adcb3d2dae02de1408c13
2018-08-08T05:10:09,transfer to,danaedwards,0,-0.5,3fe4305c41e1cc658e8c43833cd6735fabff184b
2018-08-08T05:10:24,transfer to,hangin,0,-0.5,bcfb8d7c246adf7559b178e60da01ec7ed824018
2018-08-08T05:10:45,transfer to,happyfree,0,-2.0,ee6a1d8ffffea98d05d62be9c6e3a520622d90cd
2018-08-08T05:11:30,transfer to,bigsambucca,0,-2.0,70af2182637efe8ec07f868f86bfd76b07cdd30c
2018-08-08T05:35:39,transfer from,hottopic,0,0.001,52599500f9e2cf92360219c6fe02b4c701cb5dda
2018-08-08T05:36:39,transfer from,okankarol,0,0.001,681ef0a7b02e27b3fa3f1874d5f557cbf86599ee
2018-08-08T05:43:03,transfer from,huge-whale,0,0.001,e788a7498a77e180e8cf022ed2af98fdd6e579b3
2018-08-08T10:12:45,transfer from,orientalhub,0,10.0,23cda99f38f353608ffb5c27dbc56df661699d52
2018-08-09T04:40:30,transfer from,huge-whale,0,0.001,3e7ad56a0ab158156f08a658245adc6336f1ef57
2018-08-10T06:12:00,transfer from,minnowbooster,0,0.001,aed74649807cff65772f3c747e48acb3aa11d8eb
2018-08-10T06:18:57,transfer from,hottopic,0,0.001,75ae707a8329259222a0a6a797da77bbf88eaf3a
2018-08-10T06:20:09,transfer from,okankarol,0,0.001,8b6d65d7ea9721fc7c30214f8d8f5998ed3383a3
2018-08-10T06:47:48,transfer from,huge-whale,0,0.001,787fc61f7eb810c40fd4ee0bb0f79e378a6c9708
2018-08-10T08:11:21,transfer from,crypto-n-custard,0,0.001,0c908a1b9155fd7ff7d44256658c9f2bd0e1c6ac
2018-08-12T07:22:00,transfer from,hottopic,0,0.001,6c643e40e5fcdd2c5ddb685096f07f546ae0dd94
2018-08-12T07:23:12,transfer from,okankarol,0,0.001,f29a526cb27c2ad5ca4abdf7be7f5c41086b2312
2018-08-13T07:39:18,transfer from,big-whale,0,0.001,d8636cede819d51e1091cff3e7ee1fa2066ebf07
2018-08-14T07:55:12,transfer from,hottopic,0,0.001,b619f7234e09d26a9b71e6cf176d3a38c725c88e
2018-08-14T07:56:09,transfer from,okankarol,0,0.001,f8ccdbfc67ab5e870f5bea221cd27a68880bb40c
2018-08-15T07:19:51,transfer from,huge-whale,0,0.001,6039232528e7934f2bd74a4483c806198ddcf4c2
2018-08-16T05:03:45,transfer from,huge-whale,0,0.001,557149ce9f63cfc300bdb5215a06a259012a3247
2018-08-16T11:12:42,transfer from,hottopic,0,0.001,efd60cffc101e9ac5064cab4cd4917542c9eac41
2018-08-16T11:13:36,transfer from,okankarol,0,0.001,de63cff29371810185095b964e992b71c1911a0e
2018-08-17T02:18:15,transfer from,steembasicincome,0.001,0,055dc3524ad6afbc8ee04b8b99773c7e06abcc61
2018-08-17T05:11:48,transfer from,big-whale,0,0.001,d8f72b920290988383b1dcfbe3279ba4d328c751
2018-08-18T15:57:18,transfer from,chrisee,0,0.001,1b93bec679c1f7a668607523495093831852869c
2018-08-18T19:06:18,transfer from,hottopic,0,0.001,b90b656e8ae034ad90030faa41480734e28da4b6
2018-08-18T19:07:36,transfer from,okankarol,0,0.001,c5091774c6ae93342d9def30f3d3b9164b3dae27
2018-08-19T09:57:27,transfer from,crypto-n-custard,0,0.001,41efbea2f83e2a6a9111b7d5f411e6f450e4d630
2018-08-20T04:41:57,transfer from,huge-whale,0,0.001,bc4f398b61b1e4ec5c1319cfc7eabb206b801e9d
2018-08-21T11:27:54,transfer from,hottopic,0,0.001,6b6413f476c521f838b5f8b10c44a92d6c2658ae
2018-08-21T11:28:42,transfer from,okankarol,0,0.001,9e5339258d730c0d8e2483b0bd5a19753092d248
2018-08-24T08:01:27,transfer from,hottopic,0,0.001,d52757b1bd71bd88fa5ea4aa2ce62d3486623c3d
2018-08-24T08:02:18,transfer from,okankarol,0,0.001,1f02c264751702d06ff3f431edefca40cbb2c4b4
2018-08-24T11:23:51,transfer to,minloulou,0,-0.05,3e78df52ca9b89128e99ec643b9a7957281323cb
2018-08-24T11:24:15,transfer to,wilhb81,0,-0.05,2057d37ff3d7476eb19e0eda8a9ffe757440c223
2018-08-24T11:25:06,transfer to,janettyanez,0,-0.05,dee7a0c6e30ecdb83f8ef53e692dc326d36d32ca
2018-08-24T11:25:39,transfer to,ramonrene,0,-0.05,b3f97b33d6a6d3e1fea17ddda15af0ffb3393240
2018-08-24T11:26:00,transfer to,deanliu,0,-0.05,9e5d99129ee66244a4c7fbbf49c4a4b14c326b74
2018-08-24T11:26:18,transfer to,evgeny,0,-0.05,94bb78e785c3314bd53807d8b226665e9949d01b
2018-08-24T11:26:42,transfer to,etherealme,0,-0.05,7046ba37f9d77af98b655eef7040d745e8d10cf2
2018-08-24T11:26:57,transfer to,maisyinmotion,0,-0.05,1f5adba75f96e21aa6547af15aa837d3622df342
2018-08-24T11:27:48,transfer to,aschatria,0,-0.05,3910d86996f6da2a1e8b495c6936ed6034c3de38
2018-08-24T11:28:54,transfer to,feri1,0,-0.05,5bdabacf6bdd465070f258735bb23f9d358c09a7
2018-08-24T11:29:06,transfer to,manuel82,0,-0.05,32122031d9fb58687cecaa890ecc8a3c3f9f9132
2018-08-24T11:30:09,transfer to,alla-kopica,0,-0.05,0a033e4047f03261a80dcb9de6afb9ab9b38e1fe
2018-08-24T11:30:33,transfer to,goodway,0,-0.05,b9fc80934055b858ba7fb973d46be4be8c184012
2018-08-24T11:30:57,transfer to,ahmanik,0,-0.05,427a7282a8cad36fbef78ad2850db68b2f97cad2
2018-08-24T11:31:27,transfer to,chetanshetty,0,-0.05,2c59656203c2ace6f0d4b076e7494d0c8fa3b714
2018-08-24T11:32:30,transfer to,twocatsncounting,0,-0.05,e6039db63c5bef7769f192cdd574876bae0419c0
2018-08-24T11:33:00,transfer to,kid4life,0,-0.05,9443fcea9bcd587f804b22d435333d1f54addcbe
2018-08-24T11:33:18,transfer to,dmercadoelis,0,-0.05,51be2035c16625efd7028d71c3dc08ff97e9a100
2018-08-24T11:33:30,transfer to,hetty-rowan,0,-0.05,cd8724f6cb2e89db5b75fd22833188acc3299fd6
2018-08-24T11:34:24,transfer to,markangeltrueman,0,-0.05,c8aba95c2d41aa806121a83fff15a3057849266f
2018-08-24T11:45:57,transfer from,koobix,0,0.001,ab0d514db2a6f530390467b3bd738627220ce204
2018-08-24T12:07:51,transfer from,chrisee,0,0.001,d5112ad0c4ccaa97d9681d761e29536c38cefae2
2018-08-25T03:25:21,transfer from,steembasicincome,0.001,0,031ff292a8e0a9a363568813b1b11a57ce2003ae
2018-08-25T06:00:24,transfer from,huge-whale,0,0.001,1a311da0f41f85e2086106a08da0742760425b0d
2018-08-26T09:40:15,transfer from,dtube.rewards,0.025,0,c7ba09d066c9ee5a3b03cb7db6cf4a4f477d6151
2018-08-26T12:48:15,transfer from,hottopic,0,0.001,6e1d6637e524c5000fb5ccf1a69595a3e0dc0ab6
2018-08-26T12:49:12,transfer from,okankarol,0,0.001,40fe30753dce27d4b825d0646af9b6b7bd7e30a9
2018-08-27T03:37:36,transfer from,big-whale,0,0.001,fe97962d759b42ee1c517f7d122012c376766cbd
2018-08-28T03:52:42,transfer from,big-whale,0,0.001,aaa2ccf0a8d793a1515de125d6475d51260a72d8
2018-08-28T17:51:00,transfer from,hottopic,0,0.001,fe3b5e1f049c968b7da8f554c1403430a503544b
2018-08-28T17:51:54,transfer from,okankarol,0,0.001,923ac1744bc5368b0580757e25398b87ad6f125c
2018-08-29T05:03:15,transfer from,huge-whale,0,0.001,f7c41488a758c58b62b3df0ef0facdc45d91945d
2018-08-29T05:27:57,transfer from,crypto-n-custard,0,0.001,efdf09e90497f58a7f03fdd1f4d7ea51b045574b
2018-08-29T13:53:15,transfer from,carolkean,0,3.0,4192137236111cd866a9c5cb00ab5aeff2c7bdef
2018-08-29T14:09:42,transfer from,byresteem,0,0.001,4d1329c0f45a710cad691fda14ea0a91f9178331
2018-08-29T16:40:36,transfer from,perlia,0,3.0,bba447c9cfe12326be1c64bb2e4e818cfee434ba
2018-08-30T07:13:51,transfer from,big-whale,0,0.001,ab9d2559866ca9f3676d1a65019b0bfa43092dcc
